"posts";"forum_id";"thread_id";"title";"url"
197;193157;1748343208;"Catalans to link up in human chain today in their call for secession from Spain";"http://www.cnn.com/2013/09/11/world/europe/spain-human-chain/index.html"
1121;193157;1774870562;"What iPhone, iPad owners need to know about iOS 7";"http://www.cnn.com/2013/09/18/tech/mobile/ios-7-upgrade-faq/index.html"
549;193157;1752704071;"7-year-old's story shows pain, worry of Syrian refugees";"http://www.cnn.com/2013/09/12/world/meast/lebanon-syria-refugees-reporters-notebook/index.html"
450;193157;1755127011;"Colorado floods: Sound the alert, more flash floods possible";"http://www.cnn.com/2013/09/13/us/flooding-colorado/index.html"
236;193157;1767174793;"Bettor used ink-like substance, contact lenses to cheat casino, police say";"http://www.cnn.com/2013/09/16/justice/connecticut-casino-cheating-ink-lenses/index.html"
510;193157;1781968066;"Porn producer vows to mandate condoms after HIV scare";"http://www.cnn.com/2013/09/20/health/porn-industry-condoms-hiv/index.html"
2789;193157;1780698837;"Weight of 5-month-old activated fatal conveyer belt, authorities say";"http://www.cnn.com/2013/09/20/world/europe/spain-baby-death/index.html"
533;193157;1774861115;"Shootings show need for mental health care";"http://www.cnn.com/2013/09/18/opinion/landsberg-shootings-mental-health/index.html"
153;193157;1749387856;"American jailed in Iran says confession was made under duress";"http://www.cnn.com/2013/09/11/world/meast/iran-american-prisoner/index.html"
876;193157;1756169834;"Person of interest ID'd in Tennessee shooting";"http://www.cnn.com/2013/09/13/justice/tennessee-fatal-shooting/index.html"
